spot_id,z,y,x,is_in_segm_mask,PhysicalSizeZ,PhysicalSizeY,PhysicalSizeX,Cell_ID
1,27.0,119.0,51.0,1,0.35,0.06725,0.0675,1
2,22.0,112.0,65.0,1,0.35,0.06725,0.0675,1
3,26.0,138.0,30.0,1,0.35,0.06725,0.0675,1
4,28.0,122.0,66.0,1,0.35,0.06725,0.0675,1
5,22.0,159.0,97.0,1,0.35,0.06725,0.0675,1
6,27.0,129.0,75.0,1,0.35,0.06725,0.0675,1
7,25.0,142.0,93.0,1,0.35,0.06725,0.0675,1
8,28.0,125.0,44.0,1,0.35,0.06725,0.0675,1
9,27.0,138.0,38.0,1,0.35,0.06725,0.0675,1
10,22.0,123.0,30.0,1,0.35,0.06725,0.0675,1
11,23.0,130.0,28.0,1,0.35,0.06725,0.0675,1
12,20.0,166.0,101.0,1,0.35,0.06725,0.0675,1
13,26.956521739130437,157.1086956521739,43.06521739130435,1,0.35,0.06725,0.0675,1
14,28.00877192982456,151.8684210526316,39.92105263157895,1,0.35,0.06725,0.0675,1
15,20.0,178.0,158.0,1,0.35,0.06725,0.0675,2
16,16.0,239.0,195.0,1,0.35,0.06725,0.0675,2
17,19.0,167.0,122.0,1,0.35,0.06725,0.0675,2
18,19.0,242.0,187.0,1,0.35,0.06725,0.0675,2
19,20.8015873015873,237.27777777777777,179.36507936507937,1,0.35,0.06725,0.0675,2
20,19.0,236.0,127.0,1,0.35,0.06725,0.0675,2
21,21.0,244.0,156.0,1,0.35,0.06725,0.0675,2
22,17.079545454545453,165.625,127.85227272727272,1,0.35,0.06725,0.0675,2
23,19.130434782608692,252.0434782608696,169.41304347826087,1,0.35,0.06725,0.0675,2
24,17.914285714285715,252.02857142857144,174.4,1,0.35,0.06725,0.0675,2
25,12.0,243.0,160.0,1,0.35,0.06725,0.0675,2
26,15.968503937007874,172.2244094488189,130.06692913385828,1,0.35,0.06725,0.0675,2
27,22.3972602739726,214.5205479452055,170.57534246575344,1,0.35,0.06725,0.0675,2
28,17.0,201.82089552238807,101.18905472636816,1,0.35,0.06725,0.0675,2
29,21.0,244.0,166.0,1,0.35,0.06725,0.0675,2
30,16.066265060240966,247.97590361445785,168.8855421686747,1,0.35,0.06725,0.0675,2
31,12.0,220.0,184.0,1,0.35,0.06725,0.0675,2
32,18.0,216.0,106.0,1,0.35,0.06725,0.0675,2
33,18.03684210526316,183.7894736842105,97.97894736842105,1,0.35,0.06725,0.0675,2
34,23.075949367088608,225.9240506329114,167.79746835443038,1,0.35,0.06725,0.0675,2
35,16.986666666666668,192.52,98.84333333333332,1,0.35,0.06725,0.0675,2
36,22.095671981776764,228.35990888382688,176.90432801822325,1,0.35,0.06725,0.0675,2
37,17.0,185.0,165.0,1,0.35,0.06725,0.0675,2
38,22.0,236.0,141.0,1,0.35,0.06725,0.0675,2
39,12.88888888888889,246.93827160493828,172.1358024691358,1,0.35,0.06725,0.0675,2
40,19.0,225.0,112.0,1,0.35,0.06725,0.0675,2
41,11.0,194.0,156.0,1,0.35,0.06725,0.0675,2
42,12.0,189.0,148.0,1,0.35,0.06725,0.0675,2
47,18.6875,252.0,171.6875,1,0.35,0.06725,0.0675,2
48,16.533333333333335,168.2,128.86666666666667,1,0.35,0.06725,0.0675,2
55,21.36231884057971,233.66666666666663,178.33333333333334,1,0.35,0.06725,0.0675,2
63,17.306122448979593,198.87755102040816,105.0,1,0.35,0.06725,0.0675,2
68,17.363636363636363,187.63636363636363,98.36363636363636,1,0.35,0.06725,0.0675,2
