index,path,opened_last_on
0,/Volumes/GoogleDrive/My Drive/01_Postdoc_HMGU/Python_MyScripts/MIA/Git/spotMAX_v2/data/antoine_test0_TPR-GFP_live_exp1/Position_1,2022-04-13 13:56:53.053108
1,G:/My Drive/1_MIA_Data/Maria-Elena/test0/TPR-GFP_live/exp1/Position_1/Images,2022-04-13 11:06:48.019097
2,G:/My Drive/1_MIA_Data/Maria-Elena/test0/TPR-GFP_live/exp2/Position_1,2021-12-16 20:35:59.264640
3,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Diploids/2020-02-18_Diploid_SCD_1/2020-02-18_ASY15-1_0nM/TIFFs,2021-12-06 11:04:12.076820
4,G:/My Drive/1_MIA_Data/Dimitra/test_spotMAX_nucleusSegm_1,2021-12-06 09:39:30.560085
5,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Diploids/2020-02-18_Diploid_SCD_1/2020-02-18_ASY15-1_0nM/TIFFs/Position_1,2021-12-06 09:38:49.937260
6,G:/My Drive/1_MIA_Data/Dimitra/test_spotMAX_nucleusSegm_1/TIFFs,2021-12-06 09:07:12.090858
7,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Diploids,2021-12-03 10:46:12.430475
8,G:/My Drive/1_MIA_Data/Maria-Elena/test0/TPR-GFP_live/exp2/Position_1/Images,2021-12-02 13:53:36.825706
9,G:/My Drive/01_Postdoc_HMGU/Papers_FA/spotMAX/testDataset/2Dimages/2021-12-02_09-45-33_spotmax/Images,2021-12-02 09:47:26.679860
10,G:/My Drive/01_Postdoc_HMGU/Papers_FA/spotMAX/testDataset/2Dimages\2021-12-02_09-45-33_spotmax\Images,2021-12-02 09:45:34.998646
11,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Diploids/2020-02-18_Diploid_SCD_1,2021-11-22 17:09:23.486662
12,G:/My Drive/1_MIA_Data/Maria-Elena/test0/TPR-GFP_live/exp2/Position_7,2021-11-22 17:06:54.161740
13,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Haploids/2020-05-05_SCD_Haploid_2/2020-05-05_ASY13_SCD_0nM/TIFFs,2021-11-22 13:58:44.834148
14,G:/My Drive/1_MIA_Data/Anika/Mutants/Petite/2020-07-28_ASY39-1_1/SCD_60nM/TIFFs,2021-11-22 12:09:02.211721
15,G:/My Drive/1_MIA_Data/Anika/Mutants/Petite/2020-10-09_ASY39-1_2/SCD_0nM/TIFFs,2021-11-22 10:17:18.369185
16,G:/My Drive/1_MIA_Data/Anika/Mutants/Petite/2020-07-28_ASY39-1_1/SCD_0nM/TIFFs,2021-11-22 10:09:15.113016
17,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Haploids/2020-05-04_SCD_Haploid_1/2020-05-04_ASY13-1_150nM_SCD/TIFFs,2021-11-22 10:02:33.397092
18,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Haploids/2020-05-04_SCD_Haploid_1/2020-05-04_ASY13-1_0nM_SCD/TIFFs,2021-11-22 10:00:47.316611
19,G:/My Drive/1_MIA_Data/Anika/WTs/SCD/Haploids,2021-11-22 09:20:11.663034
